B_ID,F_Name,L_Name,B_Phone,B_Email,B_Address
1,Ansel,Lind,2585470601,o'kon.cordell@hotmail.com,"797 Ullrich Road"
2,Jose,Bruen,3268089101,cnolan@yahoo.com,"69132 Grace Terrace Apt. 440"
3,Arjun,Collins,8917401271,howe.jerel@gmail.com,"80851 Langworth Locks"
4,Brian,Beier,7984787412,abdul27@yahoo.com,"10243 Corwin Locks Apt. 017"
5,Jabari,Ryan,3908329041,jankunding@yahoo.com,"841 Hipolito Ranch Apt. 245"
6,Devan,Nitzsche,7174901742,edavis@gmail.com,"68754 Clementine Haven"
7,Jaylon,Littel,7907867712,hilbert80@yahoo.com,"564 Delfina Springs Suite 892"
8,Alf,Gutkowski,8961894922,yschulist@hotmail.com,"320 Amelia Heights Suite 986"
9,Archibald,Morar,8789696198,annabelle75@yahoo.com,"568 Dayna Lane"
10,Rory,Lemke,5785812350,prohaska.delphine@gmail.com,"6943 Shanahan Ridges"
