R_ID,F_Name,L_Name,R_Age,R_Phone,R_Email,Rent_Amount,Lease_Term,House_H_ID
1,Irving,Tran,21,2522352643,irtran@gmail.com,2200,1,11
2,Joe,Porter,26,8738971874,joe@gmail.com,2100,1,14
3,Brent,Clark,35,7471074017,brent@gmail.com,3150,1,7
4,Donny,Banner,25,7240971904,don@gmail.com,2900,2,15
5,Roger,Francis,28,7896896812,roger@gmail.com,2590,2,1
6,Carrol,Acosta,39,8924100411,carrol@gmail.com,2890,1,17
7,Virgil,Pinto,35,8689675663,virgil@gmail.com,3600,2,2
8,Erwin,Klause,21,7907907456,kerwin@gmail.com,2290,1,19
9,Loren,"De Silva",37,2459471919,desilva@gmail.com,3500,2,4
10,Tom,Davis,47,3555223434,da@gmail.com,2150,1,20
11,Edurardo,Xavi,51,3523665223,xavi@gmail.com,1670,2,5
12,Jean,Paul,34,4523523676,jpaul@gmail.com,1600,1,3
13,Stephen,Wright,23,2414214654,steph@gmail.com,1700,1,10
14,Olivia,Phil,27,8908142218,phil@gmail.com,3100,2,6
15,Ben,Perkins,28,9070913413,perkins@gmail.com,2850,1,8
